"Time","20.118.208.91:9100 eth0 rx","20.118.208.91:9100 eth0 tx"
2026-06-03 04:25:15,44.9 p/s,42.5 p/s
2026-06-03 04:25:30,45.1 p/s,42.7 p/s
2026-06-03 04:25:45,45.7 p/s,43.3 p/s
2026-06-03 04:26:00,45.6 p/s,43.2 p/s
2026-06-03 04:26:15,45.6 p/s,43.2 p/s
2026-06-03 04:26:30,45.5 p/s,43.1 p/s
2026-06-03 04:26:45,45.3 p/s,43.0 p/s
2026-06-03 04:27:00,44.9 p/s,42.6 p/s
2026-06-03 04:27:15,45.0 p/s,42.7 p/s
2026-06-03 04:27:30,45.5 p/s,43.2 p/s
2026-06-03 04:27:45,45.6 p/s,43.4 p/s
2026-06-03 04:28:00,44.4 p/s,42.3 p/s
2026-06-03 04:28:15,42.8 p/s,40.8 p/s
2026-06-03 04:28:30,41.6 p/s,39.7 p/s
2026-06-03 04:28:45,40.5 p/s,38.7 p/s
2026-06-03 04:29:00,39.7 p/s,38.0 p/s
2026-06-03 04:29:15,39.0 p/s,37.4 p/s
2026-06-03 04:29:30,38.3 p/s,36.7 p/s
2026-06-03 04:29:45,38.2 p/s,36.7 p/s
2026-06-03 04:30:00,38.2 p/s,36.7 p/s
2026-06-03 04:30:15,37.9 p/s,36.5 p/s
2026-06-03 04:30:30,37.2 p/s,35.7 p/s
2026-06-03 04:30:45,36.6 p/s,35.1 p/s
2026-06-03 04:31:00,34.6 p/s,33.2 p/s
2026-06-03 04:31:15,34.2 p/s,32.9 p/s
2026-06-03 04:31:30,33.1 p/s,31.9 p/s
2026-06-03 04:31:45,32.4 p/s,31.2 p/s
2026-06-03 04:32:00,31.2 p/s,30.1 p/s
2026-06-03 04:32:15,31.1 p/s,30.0 p/s
2026-06-03 04:32:30,30.0 p/s,28.9 p/s
2026-06-03 04:32:45,30.3 p/s,29.1 p/s
2026-06-03 04:33:00,31.8 p/s,30.5 p/s
2026-06-03 04:33:15,33.2 p/s,31.7 p/s
2026-06-03 04:33:30,34.2 p/s,32.8 p/s
2026-06-03 04:33:45,34.8 p/s,33.3 p/s
2026-06-03 04:34:00,35.6 p/s,33.9 p/s
2026-06-03 04:34:15,36.4 p/s,34.7 p/s
2026-06-03 04:34:30,36.1 p/s,34.4 p/s
2026-06-03 04:34:45,36.2 p/s,34.4 p/s
2026-06-03 04:35:00,36.5 p/s,34.7 p/s
2026-06-03 04:35:15,37.3 p/s,35.4 p/s
2026-06-03 04:35:30,38.0 p/s,36.3 p/s
2026-06-03 04:35:45,39.5 p/s,37.6 p/s
2026-06-03 04:36:00,39.7 p/s,37.7 p/s
2026-06-03 04:36:15,40.3 p/s,38.2 p/s
2026-06-03 04:36:30,40.7 p/s,38.6 p/s
2026-06-03 04:36:45,40.4 p/s,38.4 p/s
2026-06-03 04:37:00,40.6 p/s,38.5 p/s
2026-06-03 04:37:15,40.7 p/s,38.7 p/s
2026-06-03 04:37:30,40.7 p/s,38.7 p/s
2026-06-03 04:37:45,40.4 p/s,38.5 p/s
2026-06-03 04:38:00,40.1 p/s,38.2 p/s
2026-06-03 04:38:15,39.6 p/s,37.7 p/s
2026-06-03 04:38:30,39.2 p/s,37.3 p/s
2026-06-03 04:38:45,39.1 p/s,37.4 p/s
2026-06-03 04:39:00,39.1 p/s,37.3 p/s
2026-06-03 04:39:15,38.5 p/s,36.7 p/s
2026-06-03 04:39:30,37.8 p/s,36.1 p/s
2026-06-03 04:39:45,37.3 p/s,35.6 p/s
2026-06-03 04:40:00,36.5 p/s,34.9 p/s
2026-06-03 04:40:15,36.5 p/s,34.9 p/s
2026-06-03 04:40:30,37.1 p/s,35.5 p/s
2026-06-03 04:40:45,37.2 p/s,35.6 p/s
2026-06-03 04:41:00,38.0 p/s,36.3 p/s
2026-06-03 04:41:15,38.6 p/s,37.0 p/s
