"Time","172.212.226.225:9100direction: rx gpu_index: 0"
2026-05-03 21:13:00,3.04 GB/s
2026-05-03 21:13:20,3.03 GB/s
2026-05-03 21:13:40,3.03 GB/s
2026-05-03 21:14:00,2.98 GB/s
2026-05-03 21:14:20,3.14 GB/s
2026-05-03 21:14:40,3.14 GB/s
2026-05-03 21:15:00,3.00 GB/s
2026-05-03 21:15:20,3.05 GB/s
2026-05-03 21:15:40,3.05 GB/s
2026-05-03 21:16:00,3.07 GB/s
2026-05-03 21:16:20,2.99 GB/s
2026-05-03 21:16:40,2.99 GB/s
2026-05-03 21:17:00,3.10 GB/s
2026-05-03 21:17:20,3.00 GB/s
2026-05-03 21:17:40,3.00 GB/s
2026-05-03 21:18:00,3.01 GB/s
2026-05-03 21:18:20,3.12 GB/s
2026-05-03 21:18:40,3.12 GB/s
2026-05-03 21:19:00,2.99 GB/s
2026-05-03 21:19:20,3.04 GB/s
2026-05-03 21:19:40,3.04 GB/s
2026-05-03 21:20:00,3.03 GB/s
2026-05-03 21:20:20,2.99 GB/s
2026-05-03 21:20:40,2.99 GB/s
2026-05-03 21:21:00,3.17 GB/s
2026-05-03 21:21:20,3.00 GB/s
2026-05-03 21:21:40,3.00 GB/s
2026-05-03 21:22:00,3.04 GB/s
2026-05-03 21:22:20,3.06 GB/s
2026-05-03 21:22:40,3.06 GB/s
2026-05-03 21:23:00,2.99 GB/s
2026-05-03 21:23:20,3.14 GB/s
2026-05-03 21:23:40,3.14 GB/s
2026-05-03 21:24:00,3.01 GB/s
2026-05-03 21:24:20,3.02 GB/s
2026-05-03 21:24:40,3.02 GB/s
2026-05-03 21:25:00,3.09 GB/s
2026-05-03 21:25:20,3.01 GB/s
